date,open,high,low,close,volume
2023-10-03,174.25,174.6,170.43,170.68,10514554
2023-10-04,170.68,172.48,169.78,170.68,6049760
2023-10-05,172.75,173.88,171.4,172.23,7115506
2023-10-06,172.5,174.5,172.0,173.6,3717076
2023-10-09,170.5,170.83,168.08,170.0,8740080
2023-10-10,170.03,171.3,169.6,170.2,3572978
2023-10-11,171.1,172.65,170.75,171.28,4799512
2023-10-12,172.45,175.18,172.03,174.35,7703802
2023-10-13,173.55,175.3,173.53,173.85,3981804
2023-10-16,172.5,174.23,171.0,173.63,3262470
2023-10-17,174.45,178.85,173.35,177.35,10443728
2023-10-18,177.5,178.25,174.43,175.1,9162228
2023-10-19,174.75,177.28,174.58,176.85,5743188
2023-10-20,175.3,176.4,172.28,173.2,4400690
2023-10-23,172.78,173.65,170.83,171.4,7813800
2023-10-25,171.28,173.25,169.25,169.98,5429774
2023-10-26,168.8,169.48,165.73,167.5,7743878
2023-10-27,167.5,169.13,167.0,167.48,2996088
2023-10-30,169.0,174.45,168.55,173.45,21873188
2023-10-31,174.18,176.98,172.33,174.63,10673186
2023-11-01,175.28,179.38,175.28,178.45,13929780
2023-11-02,180.48,181.0,178.63,180.28,10130432
2023-11-03,180.58,181.85,180.1,180.75,5627900
2023-11-06,181.4,184.58,180.68,183.13,9072020
2023-11-07,183.4,186.83,183.1,186.4,10702176
2023-11-08,187.73,193.95,187.03,192.1,24020912
2023-11-09,192.55,195.33,191.4,191.78,12843896
2023-11-10,190.9,193.05,190.25,192.03,4932486
2023-11-12,192.5,194.0,191.58,192.05,776810
2023-11-13,191.75,194.35,191.75,193.55,4838906
2023-11-15,194.0,196.7,193.58,196.28,11266250
2023-11-16,197.0,200.65,196.5,199.33,15416172
2023-11-17,200.0,203.55,194.63,195.13,16380696
2023-11-20,195.33,196.7,193.73,196.0,4506882
2023-11-21,196.0,196.6,193.3,194.0,4477214
2023-11-22,196.0,201.4,195.55,201.05,25730664
2023-11-23,201.78,206.75,200.33,205.65,16239092
2023-11-24,206.5,206.5,203.5,205.3,10975546
2023-11-28,207.03,212.95,206.55,212.25,23186856
2023-11-29,213.0,217.23,209.35,214.33,25208812
2023-11-30,217.25,219.38,214.53,217.85,32721308
2023-12-01,220.0,221.2,216.7,219.0,19278842
2023-12-04,222.5,232.4,222.0,230.75,41482794
2023-12-05,235.03,238.23,232.5,236.1,38376064
2023-12-06,240.5,241.25,234.15,236.43,27408826
2023-12-07,238.5,239.5,235.75,237.35,23850564
2023-12-08,238.45,238.73,232.9,235.23,18940478
2023-12-11,237.43,237.43,228.28,232.75,27693108
2023-12-12,222.75,225.73,222.75,223.78,19940320
2023-12-13,224.75,227.18,222.98,223.75,26664018
2023-12-14,224.98,224.98,221.03,222.85,12555568
2023-12-15,222.5,226.73,221.1,224.5,22079148
2023-12-18,224.5,225.13,222.05,223.63,16831064
2023-12-19,223.63,225.75,222.53,224.88,12644672
2023-12-20,226.7,227.68,219.18,219.73,17347978
2023-12-21,217.45,225.23,216.23,224.78,18554414
2023-12-22,224.85,226.68,222.53,223.33,11559264
2023-12-26,224.0,228.25,222.25,225.8,22976450
2023-12-27,226.98,228.2,224.15,227.35,12398088
2023-12-28,228.0,235.43,227.38,232.9,45183336
2023-12-29,227.25,229.0,224.33,225.33,17088440
2024-01-01,229.7,229.7,225.35,226.03,7006288
2024-01-02,226.03,229.7,224.05,228.13,9458818
2024-01-03,229.98,232.65,227.53,230.53,15058884
2024-01-04,228.4,228.75,225.5,226.33,17904916
2024-01-05,227.95,229.83,225.63,226.55,8080468
2024-01-08,228.48,232.15,225.73,227.5,18232610
2024-01-09,230.0,231.88,227.83,229.98,12301290
2024-01-10,227.6,228.08,222.55,225.63,15261992
2024-01-11,226.95,230.6,226.6,229.35,15751252
2024-01-12,229.5,230.55,227.55,229.13,11990812
2024-01-15,230.0,231.75,227.83,229.98,10408382
2024-01-16,230.5,239.9,230.25,236.43,42369500
2024-01-17,236.0,238.58,233.08,235.83,22429284
2024-01-18,233.5,240.45,230.5,236.6,19802302
2024-01-19,238.0,242.5,237.03,240.48,12973856
2024-01-20,242.0,243.0,240.0,241.55,7622276
2024-01-23,244.25,244.25,230.05,231.53,18419550
2024-01-24,232.5,239.25,231.65,238.58,15161312
2024-01-25,238.6,244.18,235.5,237.2,21346674
2024-01-29,237.0,250.7,234.7,246.33,27869484
2024-01-30,248.43,258.93,246.58,252.1,44271876
2024-01-31,252.98,256.27,249.28,251.18,20707736
2024-02-01,252.28,257.65,249.55,254.23,14008198
2024-02-02,258.68,286.2,258.0,279.18,77556082
2024-02-05,283.0,294.4,278.52,287.38,45025890
2024-02-06,289.98,307.35,285.35,304.65,45260656
2024-02-07,308.4,310.0,299.65,301.02,28791718
2024-02-08,304.0,317.68,303.2,310.25,37522588
2024-02-09,311.5,311.85,296.15,307.15,29524266
2024-02-12,307.4,309.3,291.88,295.23,17042236
2024-02-13,295.98,298.27,290.18,292.15,12659942
2024-02-14,291.0,314.68,291.0,311.83,47987362
2024-02-15,315.0,328.48,311.55,326.38,51245018
2024-02-16,333.0,343.98,325.95,327.3,55744810
