date,open,high,low,close,volume
2023-10-03,1232.5,1256.7,1222.7,1238.7,2162636
2023-10-04,1234.0,1244.8,1225.0,1239.55,2253785
2023-10-05,1249.0,1253.95,1227.8,1235.45,2995200
2023-10-06,1252.0,1256.0,1230.1,1237.7,2497711
2023-10-09,1236.0,1266.65,1231.15,1249.6,3430211
2023-10-10,1255.55,1264.75,1248.2,1261.8,1532394
2023-10-11,1266.0,1274.45,1241.0,1245.6,2186131
2023-10-12,1245.0,1248.55,1215.15,1223.75,3921609
2023-10-13,1211.0,1266.5,1208.55,1255.9,5740821
2023-10-16,1263.0,1279.3,1260.3,1270.65,2527113
2023-10-17,1278.9,1279.0,1271.0,1277.15,1687345
2023-10-18,1278.0,1281.5,1267.4,1269.45,1743126
2023-10-19,1266.8,1274.75,1264.9,1267.35,2279726
2023-10-20,1252.0,1261.35,1245.45,1258.6,1625449
2023-10-23,1248.0,1260.5,1232.3,1236.65,1646367
2023-10-25,1231.2,1252.9,1225.3,1229.0,1420065
2023-10-26,1215.0,1238.2,1212.05,1231.8,4617424
2023-10-27,1237.0,1270.0,1233.45,1268.7,2675348
2023-10-30,1270.0,1274.8,1256.0,1264.75,1158770
2023-10-31,1272.0,1279.85,1256.7,1276.0,2525870
2023-11-01,1280.0,1285.95,1255.3,1258.95,1572719
2023-11-02,1266.0,1275.0,1265.0,1273.4,1368604
2023-11-03,1282.6,1287.3,1263.0,1266.25,2052536
2023-11-06,1276.25,1279.5,1265.15,1269.7,1175823
2023-11-07,1269.0,1277.7,1267.1,1273.95,1385282
2023-11-08,1280.0,1280.8,1265.9,1267.65,937671
2023-11-09,1267.65,1275.8,1261.8,1267.5,1483749
2023-11-10,1262.3,1271.0,1250.65,1255.45,1469902
2023-11-12,1265.0,1265.45,1256.35,1260.2,132650
2023-11-13,1260.0,1263.6,1253.3,1261.0,730991
2023-11-15,1275.0,1283.0,1268.4,1276.65,2410620
2023-11-16,1283.8,1317.95,1278.0,1311.05,3936945
2023-11-17,1313.4,1325.75,1306.4,1309.15,2882039
2023-11-20,1314.95,1331.7,1314.0,1325.4,2831858
2023-11-21,1335.6,1336.0,1321.8,1326.6,1514256
2023-11-22,1326.6,1335.75,1320.4,1329.7,1535630
2023-11-23,1333.95,1335.25,1325.7,1329.0,1307344
2023-11-24,1328.9,1332.65,1305.65,1309.15,1795933
2023-11-28,1309.15,1319.9,1295.3,1316.65,2152951
2023-11-29,1324.0,1338.8,1321.5,1333.95,1835524
2023-11-30,1337.0,1346.8,1329.7,1340.9,4104385
2023-12-01,1346.0,1349.0,1328.0,1336.7,1854324
2023-12-04,1350.0,1350.0,1331.0,1337.95,1547057
2023-12-05,1347.0,1347.0,1308.3,1317.55,3932040
2023-12-06,1325.0,1339.95,1319.55,1329.55,2077245
2023-12-07,1331.0,1337.0,1325.35,1328.0,1985003
2023-12-08,1333.0,1369.95,1329.0,1364.1,4509751
2023-12-11,1370.1,1383.0,1366.05,1375.3,2824656
2023-12-12,1377.0,1387.0,1370.0,1375.3,2730422
2023-12-13,1379.35,1382.8,1357.05,1369.2,1896931
2023-12-14,1391.0,1419.25,1382.0,1414.6,5145574
2023-12-15,1422.0,1497.0,1422.0,1491.3,7374290
2023-12-18,1489.85,1509.9,1481.0,1504.3,3075527
2023-12-19,1501.5,1504.65,1477.7,1488.3,2590417
2023-12-20,1485.0,1503.05,1435.0,1439.95,4368383
2023-12-21,1421.15,1447.05,1420.1,1422.05,2841508
2023-12-22,1431.0,1467.35,1423.0,1462.7,2303438
2023-12-26,1462.7,1467.35,1442.15,1458.15,1363265
2023-12-27,1465.45,1476.0,1457.55,1472.05,1402329
2023-12-28,1470.6,1482.7,1468.45,1472.45,1928616
2023-12-29,1473.95,1481.85,1457.55,1466.1,1481617
2024-01-01,1460.0,1495.75,1455.05,1483.75,1222315
2024-01-02,1484.05,1488.8,1461.35,1469.55,1440888
2024-01-03,1460.0,1465.0,1435.5,1437.75,1651716
2024-01-04,1437.0,1444.8,1417.15,1419.95,3392241
2024-01-05,1425.0,1438.85,1421.9,1432.8,1776925
2024-01-08,1435.0,1452.6,1430.55,1447.9,2025264
2024-01-09,1460.6,1480.95,1452.35,1460.4,3119270
2024-01-10,1474.9,1508.0,1466.05,1492.1,4368914
2024-01-11,1500.0,1500.0,1474.0,1484.8,2271368
2024-01-12,1505.0,1555.0,1498.5,1540.8,5862043
2024-01-15,1610.0,1619.6,1575.5,1588.2,9712071
2024-01-16,1587.0,1587.0,1538.0,1555.45,4459799
2024-01-17,1520.0,1585.0,1516.55,1575.9,3846289
2024-01-18,1577.0,1584.2,1537.05,1567.55,3205598
2024-01-19,1570.0,1590.0,1558.05,1567.95,2374099
2024-01-20,1580.0,1580.0,1537.05,1544.0,961332
2024-01-23,1558.9,1567.9,1517.05,1523.65,3196630
2024-01-24,1530.1,1581.2,1523.7,1576.4,2136023
2024-01-25,1570.0,1570.0,1536.75,1550.25,2641656
2024-01-29,1565.0,1588.6,1550.25,1574.55,2521598
2024-01-30,1580.0,1592.45,1555.0,1559.3,1939386
2024-01-31,1559.3,1581.3,1546.35,1576.0,7025931
2024-02-01,1576.0,1597.0,1566.35,1577.4,2845408
2024-02-02,1584.8,1613.9,1575.0,1583.75,2337374
2024-02-05,1584.95,1588.5,1551.45,1555.35,1452864
2024-02-06,1566.0,1627.0,1558.05,1623.75,4988311
2024-02-07,1628.0,1629.9,1598.95,1615.35,3320199
2024-02-08,1626.0,1647.7,1617.3,1633.8,3496692
2024-02-09,1640.0,1646.75,1614.65,1630.6,3341297
2024-02-12,1639.0,1685.0,1639.0,1666.95,4885445
2024-02-13,1675.0,1675.0,1648.6,1665.6,3129897
2024-02-14,1649.75,1676.9,1625.45,1671.5,1386643
2024-02-15,1678.0,1696.5,1650.1,1662.55,2555162
2024-02-16,1675.0,1677.0,1650.05,1667.45,1776881
2024-02-19,1670.0,1682.95,1659.65,1675.25,762624
2024-02-20,1661.0,1672.75,1645.0,1663.05,2240414
2024-02-21,1655.55,1664.8,1632.05,1636.3,2890991
2024-02-22,1644.0,1691.4,1639.0,1686.4,3820901
2024-02-23,1697.0,1697.35,1663.45,1665.75,2191549
2024-02-26,1665.75,1668.85,1639.5,1649.8,1844253
2024-02-27,1649.0,1673.4,1648.0,1658.8,2049420
2024-02-28,1664.7,1672.0,1644.2,1651.9,936575
2024-02-29,1642.15,1677.75,1636.65,1663.85,3532888
2024-03-01,1675.45,1679.2,1639.1,1644.1,2371138
2024-03-02,1656.0,1663.0,1643.0,1646.3,74513
2024-03-04,1649.0,1654.0,1635.0,1637.95,1788071
2024-03-05,1624.0,1629.95,1607.05,1619.35,3339546
2024-03-06,1613.0,1650.0,1603.85,1644.2,2366177
2024-03-07,1650.0,1654.55,1630.1,1637.65,3181239
2024-03-11,1655.0,1659.8,1632.05,1638.65,2970902
2024-03-12,1635.9,1665.0,1633.05,1635.6,2414182
2024-03-13,1638.75,1651.25,1610.35,1631.5,2564135
2024-03-14,1634.0,1683.0,1610.0,1679.25,3513306
2024-03-15,1677.0,1677.0,1642.85,1647.3,3931561
2024-03-18,1649.9,1663.3,1634.25,1643.4,1183544
2024-03-19,1641.55,1641.55,1594.1,1599.15,1915379
2024-03-20,1604.75,1619.1,1578.1,1587.1,1815178
2024-03-21,1608.0,1619.95,1583.35,1595.8,2684744
2024-03-22,1560.0,1571.45,1508.2,1557.85,7468824
2024-03-26,1562.25,1592.55,1555.55,1562.25,4496344
2024-03-27,1569.0,1576.85,1540.0,1546.2,2589697
2024-03-28,1549.0,1561.05,1531.0,1543.55,5301493
2024-04-01,1549.0,1569.0,1548.0,1556.7,1014857
2024-04-02,1559.0,1565.0,1525.1,1528.3,2031775
2024-04-03,1525.35,1558.45,1518.0,1535.85,3343884
2024-04-04,1540.8,1552.5,1518.7,1539.65,3388449
2024-04-05,1542.45,1547.7,1523.8,1545.25,2773570
2024-04-08,1554.0,1554.0,1537.65,1540.05,1820136
2024-04-09,1540.0,1561.8,1534.55,1540.5,2432095
2024-04-10,1541.05,1552.15,1536.2,1539.15,1829986
2024-04-12,1537.0,1542.95,1516.2,1521.5,4319991
2024-04-15,1507.1,1530.5,1494.0,1505.05,3295684
2024-04-16,1486.35,1501.6,1467.3,1477.3,2446933
2024-04-18,1477.05,1480.9,1452.1,1466.85,5180223
2024-04-19,1442.0,1455.5,1435.0,1447.5,5219506
2024-04-22,1452.2,1473.3,1450.5,1465.9,1939632
2024-04-23,1474.9,1501.45,1471.1,1486.65,2783858
2024-04-24,1490.0,1496.95,1476.3,1479.25,1321471
