date,open,high,low,close,volume
2023-10-03,483.1,484.55,476.6,479.95,4657602
2023-10-04,474.0,477.9,470.0,473.4,3302259
2023-10-05,473.4,482.4,468.35,470.55,4801287
2023-10-06,475.0,476.45,469.35,472.6,3134022
2023-10-09,472.45,473.5,464.6,469.8,2681298
2023-10-10,473.0,484.8,467.0,480.65,7863825
2023-10-11,485.65,485.95,480.1,483.9,7006735
2023-10-12,483.1,494.0,482.55,484.4,6895255
2023-10-13,479.0,487.5,477.5,480.6,4652247
2023-10-16,479.75,486.5,475.3,483.4,5043158
2023-10-17,486.5,488.45,480.7,484.35,4495043
2023-10-18,487.8,494.8,483.55,485.05,7437952
2023-10-19,478.45,482.25,471.0,479.95,6035837
2023-10-20,475.0,479.85,470.0,471.75,2777724
2023-10-23,470.8,473.95,455.0,456.7,2994345
2023-10-25,466.0,473.0,459.4,461.2,7854105
2023-10-26,456.7,458.45,448.75,456.65,6625855
2023-10-27,458.0,464.4,454.45,456.15,6193726
2023-10-30,458.75,461.75,454.0,456.65,7523779
2023-10-31,465.0,465.0,453.25,459.5,5236060
2023-11-01,458.5,466.0,456.0,462.7,4931538
2023-11-02,463.25,475.8,463.25,474.2,3933951
2023-11-03,478.95,481.45,474.25,475.2,3274345
2023-11-06,480.0,484.8,478.25,481.95,4294682
2023-11-07,482.0,491.5,480.3,484.55,5425669
2023-11-08,491.45,491.45,478.15,488.05,8220612
2023-11-09,488.8,488.8,483.15,484.45,3271496
2023-11-10,482.05,488.25,479.55,481.3,3498064
2023-11-12,485.0,486.0,480.65,482.45,302230
2023-11-13,482.0,492.35,481.1,487.5,4918873
2023-11-15,497.0,513.5,494.2,505.4,11674265
2023-11-16,504.0,507.45,497.15,504.3,4171759
2023-11-17,503.05,506.45,496.85,497.75,3595049
2023-11-20,500.15,505.95,496.55,497.3,4305637
2023-11-21,502.8,510.95,501.9,506.85,7154476
2023-11-22,504.9,506.85,498.95,500.25,4337970
2023-11-23,499.0,503.0,491.65,501.95,6628259
2023-11-24,504.85,512.75,502.55,507.8,5973059
2023-11-28,511.75,518.25,509.8,515.6,7804926
2023-11-29,519.0,523.35,513.9,517.45,6275280
2023-11-30,519.3,519.75,511.35,515.65,7599701
2023-12-01,520.05,524.8,515.3,517.2,4933886
2023-12-04,524.05,526.65,516.55,519.25,5985489
2023-12-05,518.35,528.8,515.45,520.65,6399021
2023-12-06,521.0,526.95,515.6,523.0,4831956
2023-12-07,521.0,522.4,515.1,516.05,4628885
2023-12-08,519.5,525.05,514.0,520.35,3733998
2023-12-11,520.3,523.8,517.1,522.4,2597347
2023-12-12,525.0,538.5,522.15,527.45,9498031
2023-12-13,528.95,535.25,523.3,532.85,4000017
2023-12-14,540.0,545.95,537.25,543.1,7190654
2023-12-15,556.0,559.05,548.2,557.25,8191005
2023-12-18,557.0,567.4,551.5,566.4,5076184
2023-12-19,567.95,567.95,555.7,564.85,4484733
2023-12-20,569.5,570.9,546.25,548.2,6959868
2023-12-21,544.0,561.65,541.65,556.25,4591119
2023-12-22,559.4,572.0,559.0,570.45,7865384
2023-12-26,574.95,580.85,570.5,579.85,4649730
2023-12-27,582.0,607.65,580.3,605.6,12430827
2023-12-28,608.0,616.5,605.2,614.3,7139743
2023-12-29,614.3,618.0,608.1,614.85,3995822
2024-01-01,614.5,620.5,606.95,610.4,2961919
2024-01-02,610.4,620.0,607.4,617.0,4975013
2024-01-03,608.25,611.4,592.0,593.05,7226455
2024-01-04,594.0,595.85,587.65,590.5,6592370
2024-01-05,590.6,597.6,581.55,587.0,2990123
2024-01-08,587.0,592.5,576.45,577.65,4425767
2024-01-09,581.95,584.9,573.6,575.95,5314029
2024-01-10,576.0,582.0,570.65,580.05,2408792
2024-01-11,582.95,587.0,575.5,576.95,3899383
2024-01-12,581.0,585.5,575.75,582.05,2440863
2024-01-15,585.85,586.0,572.25,574.65,3778987
2024-01-16,575.95,584.85,569.45,579.55,5187155
2024-01-17,570.95,572.7,558.1,560.25,6148035
2024-01-18,560.25,561.35,547.8,554.9,3784905
2024-01-19,556.5,561.0,554.5,557.1,4451789
2024-01-20,561.0,566.75,558.35,561.05,1502352
2024-01-23,558.0,561.8,537.6,541.4,7867972
2024-01-24,550.0,566.8,547.0,565.15,8619429
2024-01-25,566.5,570.0,558.4,567.2,5366990
2024-01-29,568.0,571.95,562.0,567.9,5126212
2024-01-30,569.95,584.3,567.25,569.25,7968815
2024-01-31,569.2,580.6,568.25,579.35,5644545
2024-02-01,578.0,581.8,570.3,571.25,3509803
2024-02-02,577.0,589.0,573.1,583.5,7145858
2024-02-05,583.5,590.9,576.05,579.9,4801118
2024-02-06,578.6,587.75,569.25,584.9,4099573
2024-02-07,590.4,602.15,584.65,592.25,9415146
2024-02-08,592.0,608.95,587.85,601.3,11844758
2024-02-09,601.0,602.0,576.3,591.3,5105348
2024-02-12,591.9,601.8,579.75,582.45,4595403
2024-02-13,539.0,540.0,496.35,510.1,46100123
2024-02-14,515.0,516.9,503.15,507.8,16634538
2024-02-15,512.7,518.5,507.6,513.2,13303658
2024-02-16,519.95,519.95,510.95,515.7,12066565
2024-02-19,518.75,518.9,511.8,512.3,5580597
2024-02-20,512.6,515.9,507.15,511.6,5186970
2024-02-21,535.0,538.0,510.0,511.8,18106978
2024-02-22,516.3,522.15,514.25,521.15,8727844
2024-02-23,524.7,524.8,517.0,518.35,6445580
2024-02-26,519.4,519.75,504.0,505.05,7605543
2024-02-27,505.5,512.2,504.7,509.65,6741206
2024-02-28,512.5,514.45,501.75,504.4,4406098
2024-02-29,506.5,508.0,499.0,503.85,16860796
2024-03-01,510.0,522.5,510.0,519.1,9882296
2024-03-02,523.0,524.0,518.0,522.85,623929
2024-03-04,524.0,529.85,520.05,524.95,5989974
2024-03-05,524.0,528.3,520.2,522.1,5729926
2024-03-06,522.05,527.9,513.95,526.95,4637732
2024-03-07,530.8,540.85,529.25,536.7,7909060
2024-03-11,540.0,543.25,532.1,533.7,5527908
2024-03-12,533.1,536.85,525.3,528.95,3703670
2024-03-13,529.35,530.0,501.2,507.0,5712435
2024-03-14,512.0,526.35,507.0,525.25,10349338
2024-03-15,522.0,534.05,517.5,532.55,8467660
2024-03-18,532.0,535.55,527.0,531.15,4282437
2024-03-19,532.0,539.75,529.25,533.65,7119131
2024-03-20,533.0,535.5,516.35,527.85,5005234
2024-03-21,538.4,545.75,534.25,539.7,8795679
2024-03-22,539.7,550.65,537.35,547.75,5518261
2024-03-26,545.65,561.0,545.0,558.65,7198061
2024-03-27,564.2,564.65,556.8,557.65,5320703
2024-03-28,561.0,566.65,555.3,560.25,8326754
2024-04-01,570.0,574.0,564.1,568.6,6192790
2024-04-02,571.0,572.3,561.55,571.2,4626877
